qubit,t1_time,t1_err,t2r_time,t2r_err,t2e_time,t2e_err,temp_mK,timestamp
Q1,18.364182403537527,1.019092897523702,6.6277525698755815,0.9895851091939488,8.810938730161517,1.0645134057861159,50,2026-03-13 08:21:33
Q2,24.853502226925006,1.76595236295394,3.5909598214285716,1.1053246376478871,3.5909598214285716,1.228917947845615,50,2026-03-13 08:28:47
Q3,25.96189219979274,1.2555463172288797,9.993563059852146,1.0110937368420077,14.325613808487692,1.2441611650759674,50,2026-03-13 08:36:06
Q4,26.25625863636072,1.3700654232747513,8.677761483016802,1.1702606678518264,8.008583623526615,1.277149908602358,50,2026-03-13 08:43:25
