qubit,t1_time,t1_err,t2r_time,t2r_err,t2e_time,t2e_err,temp_mK,timestamp
Q1,12.797321716639537,0.7255460680838218,4.462980587256778,0.8063551916600507,3.747546989701568,0.6017481630524132,140,2026-03-13 22:16:06
Q2,19.2838840254667,2.150088987806331,1.4501953125000002,0.8164357668907319,1.3811383928571466,0.793850155640018,140,2026-03-13 22:25:48
Q3,15.855991704655015,1.0688516586597077,6.048244091467927,0.9293608693990378,8.126973445982935,1.2666508547848825,140,2026-03-13 22:35:40
Q4,15.23103776580633,1.2574789559073463,6.142516574539619,1.253215212717252,12.421013306611862,2.4900422817555286,140,2026-03-13 22:45:30
