qubit,t1_time,t1_err,t2r_time,t2r_err,t2e_time,t2e_err,temp_mK,timestamp
Q1,1.4214418073297999,0.3825330855105691,0.5524553571428572,0.37931843452130515,0.5524553571428572,0.33284194698231895,210,2026-03-16 11:36:02
Q2,0.4230359364312249,0.8470163305098054,0.5524553571428572,0.49243134250830634,0.5524553571428572,0.5219546890261872,210,2026-03-16 11:44:53
Q3,1.1472693751823477,0.36503024646053334,0.883751367220034,0.45135154081321277,0.7455090158719007,0.7205559172997357,210,2026-03-16 11:53:54
Q4,1.1456661047355567,0.4131212818326156,0.7533616036976758,0.6008245962336628,0.9449879863790576,0.8569297421016326,210,2026-03-16 12:02:52
