qubit,t1_time,t1_err,t2r_time,t2r_err,t2e_time,t2e_err,temp_mK,timestamp
Q1,12.459982947528031,0.6828625740683031,5.931678128570994,1.124035188654641,5.288634247571279,0.8429740931280715,130,2026-03-13 19:02:41
Q2,23.75263058579974,2.066228587317496,1.5464920445401484,0.8288109271197149,1.3811383928571432,0.8007072092140857,130,2026-03-13 19:12:24
Q3,20.74520964854814,1.3120018908736437,9.966892869651847,1.3802426939420571,8.16026200077993,1.3007033576217202,130,2026-03-13 19:22:15
Q4,16.747994643502174,1.2217880613649137,7.334101269852767,1.4689027007678201,8.214984556764643,1.51306808061236,130,2026-03-13 19:32:04
