qubit,t1_time,t1_err,t2e_time,t2e_err,temp_mK,timestamp
Q1,3.8314224002824395,0.7373804286430741,1.4105364163524872,0.520505779310036,190,2026-03-31 19:34:07
Q3,4.15436588322425,0.612616266990145,1.3811383928571432,0.671743803524865,190,2026-03-31 19:35:20
Q4,5.2744531913792665,1.2934919771551054,1.521978885499044,0.7536021405321159,190,2026-03-31 19:36:33
